Id,Tipo,Codigo,Anio,Orden,IdCarrera,Estado,SuEst,IdTesista1,IdTesista2,IdLinea,IdLinAlte,IdJurado1,IdJurado2,IdJurado3,IdJurado4,IdJurado5,FechRegProy,FechActBorr,_T_,FechModif
1953,0,2016-1772,2016,1772,9,-1,0,1640,0,213,0,219,233,221,239,0,2016-12-02 17:25:41,,,2017-05-12 15:01:18
2320,0,2016-2130,2016,2130,24,-1,0,807,0,3,0,506,1100,517,509,0,2017-01-10 01:02:50,,,2017-06-19 03:47:19
2852,3,2017-198,2017,198,34,-1,0,2916,0,249,0,700,1364,1368,705,0,2017-05-18 08:10:50,,,2017-07-06 09:12:10
2983,3,2017-329,2017,329,15,30,0,2515,0,124,0,339,341,345,344,0,2017-06-01 11:54:32,,,2017-09-06 06:50:16
3662,3,2017-1008,2017,1008,15,30,0,3404,0,124,0,334,339,345,344,0,2017-08-16 20:07:27,,,2017-08-23 04:29:38
3738,3,2017-1084,2017,1084,15,30,0,4259,0,124,0,339,348,345,334,0,2017-08-28 18:48:30,,,2017-09-01 04:24:03
